Date,Direct,Regular,,
30-05-2024,77.7259,71.8767,,
29-05-2024,78.3817,72.4847,,
28-05-2024,78.6572,72.7409,,
27-05-2024,78.9329,72.9974,,
24-05-2024,78.9749,73.0407,,
23-05-2024,78.9077,72.98,,
22-05-2024,78.6082,72.7045,,
21-05-2024,78.5887,72.6879,,
17-05-2024,78.1173,72.2578,,
16-05-2024,77.827,71.9908,,
15-05-2024,77.6977,71.8726,,
14-05-2024,77.2781,71.4859,,
13-05-2024,76.9965,71.2269,,
10-05-2024,76.8,71.0494,,
09-05-2024,76.4133,70.6931,,
08-05-2024,77.4499,71.6535,,
07-05-2024,77.2593,71.4786,,
06-05-2024,77.7623,71.9455,,
03-05-2024,77.6579,71.8533,,
02-05-2024,77.5363,71.7423,,
30-04-2024,76.9642,71.2158,,
29-04-2024,77.3108,71.538,,
26-04-2024,77.4182,71.6417,,
25-04-2024,76.989,71.2459,,
24-04-2024,76.8651,71.1328,,
23-04-2024,76.5885,70.8782,,
22-04-2024,76.0642,70.3944,,
19-04-2024,75.4004,69.7843,,
18-04-2024,75.329,69.7197,,
16-04-2024,75.7907,70.1498,,
15-04-2024,75.8301,70.1876,,
12-04-2024,76.7069,71.0036,,
10-04-2024,77.2477,71.5071,,
09-04-2024,76.9761,71.2571,,
08-04-2024,76.7286,71.0294,,
05-04-2024,76.3282,70.663,,
04-04-2024,75.7866,70.1632,,
03-04-2024,75.7476,70.1284,,
02-04-2024,75.6672,70.0554,,
01-04-2024,75.7331,70.1179,,
31-03-2024,74.8685,69.3187,,
28-03-2024,74.8659,69.3206,,
27-03-2024,74.4617,68.9477,,
26-03-2024,74.5943,69.0719,,
22-03-2024,74.8984,69.3592,,
21-03-2024,74.4738,68.9674,,
20-03-2024,73.79,68.3355,,
19-03-2024,73.4526,68.0244,,
18-3-2024,73.8482,68.3922,,
15-3-2024,73.6088,68.1746,,
14-3-2024,74.0899,68.6216,,
13-3-2024,73.6481,68.2138,,
12-3-2024,74.8438,69.3227,,
11-3-2024,74.6367,69.1323,,
7-3-2024,75.4666,69.9067,,
6-3-2024,75.3257,69.7776,,
5-3-2024,75.289,69.745,,
4-3-2024,75.6458,70.077,,
1-3-2024,75.431,69.8822,,
29-2-2024,74.7901,69.2899,,
28-2-2024,74.1358,68.6851,,
27-2-2024,75.0318,69.5167,,
26-02-2024,74.8684,69.3667,,
23-02-2024,75.1258,69.6094,,
22-02-2024,75.1418,69.6257,,
